"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"coordinates-lancelot","Lancelot","<p>Lancelot pattern from our Coordinates collection. Pattern #01-21-119. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-21-119-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/lancelot.jpg","1","Lancelot pattern thumbnail","Lancelot - Coordinates Collection | ColorFlex Wallpaper","Lancelot pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","lancelot","1","Layer 1","24x24","straight","SW7740 MESSENGER BAG,SC0001 COTTAGE LINEN","01-21-119","21","119",""
"coordinates-lancelot","Lancelot","<p>Lancelot pattern from our Coordinates collection. Pattern #01-21-119. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-21-119-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/lancelot.jpg","","","Lancelot - Coordinates Collection | ColorFlex Wallpaper","Lancelot pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","lancelot","1","Layer 1","24x24","straight","SW7740 MESSENGER BAG,SC0001 COTTAGE LINEN","01-21-119","21","119",""
"coordinates-lancelot","Lancelot","<p>Lancelot pattern from our Coordinates collection. Pattern #01-21-119. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-21-119-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/lancelot.jpg","","","Lancelot - Coordinates Collection | ColorFlex Wallpaper","Lancelot pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","lancelot","1","Layer 1","24x24","straight","SW7740 MESSENGER BAG,SC0001 COTTAGE LINEN","01-21-119","21","119",""
"coordinates-minton","Minton","<p>Minton pattern from our Coordinates collection. Pattern #01-21-131. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-21-131-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/minton.jpg","1","Minton pattern thumbnail","Minton - Coordinates Collection | ColorFlex Wallpaper","Minton pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","minton","4","Layer 2,Layer 3,Layer 4,Layer 5","24x24","straight","SC0001 COTTAGE LINEN,SW6135 ECRU,SW6214 UNDERSEAS,SW0043 PERISTYLE BRASS,SW7069 IRON ORE","01-21-131","21","131",""
"coordinates-minton","Minton","<p>Minton pattern from our Coordinates collection. Pattern #01-21-131. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-21-131-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/minton.jpg","","","Minton - Coordinates Collection | ColorFlex Wallpaper","Minton pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","minton","4","Layer 2,Layer 3,Layer 4,Layer 5","24x24","straight","SC0001 COTTAGE LINEN,SW6135 ECRU,SW6214 UNDERSEAS,SW0043 PERISTYLE BRASS,SW7069 IRON ORE","01-21-131","21","131",""
"coordinates-minton","Minton","<p>Minton pattern from our Coordinates collection. Pattern #01-21-131. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-21-131-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/minton.jpg","","","Minton - Coordinates Collection | ColorFlex Wallpaper","Minton pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","minton","4","Layer 2,Layer 3,Layer 4,Layer 5","24x24","straight","SC0001 COTTAGE LINEN,SW6135 ECRU,SW6214 UNDERSEAS,SW0043 PERISTYLE BRASS,SW7069 IRON ORE","01-21-131","21","131",""
"coordinates-zebra","Zebra","<p>Zebra pattern from our Coordinates collection. Pattern #01-21-136. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-21-136-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/zebra.jpg","1","Zebra pattern thumbnail","Zebra - Coordinates Collection | ColorFlex Wallpaper","Zebra pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","zebra","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW3441 FOOTHILLS","01-21-136","21","136",""
"coordinates-zebra","Zebra","<p>Zebra pattern from our Coordinates collection. Pattern #01-21-136. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-21-136-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/zebra.jpg","","","Zebra - Coordinates Collection | ColorFlex Wallpaper","Zebra pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","zebra","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW3441 FOOTHILLS","01-21-136","21","136",""
"coordinates-zebra","Zebra","<p>Zebra pattern from our Coordinates collection. Pattern #01-21-136. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-21-136-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/zebra.jpg","","","Zebra - Coordinates Collection | ColorFlex Wallpaper","Zebra pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","zebra","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW3441 FOOTHILLS","01-21-136","21","136",""
"coordinates-gingham-small","Gingham Small","<p>Gingham Small pattern from our Coordinates collection. Pattern #01-21-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coordinates, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-21-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coordinates/thumbnails/gingham-small.jpg","1","Gingham Small pattern thumbnail","Gingham Small - Coordinates Collection | ColorFlex Wallpaper","Gingham Small pattern from our Coordinates collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coordinates","gingham-small","1","Layer 1","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-21-101","21","101",""
