"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","custom.base_url","custom.collection","custom.pattern","custom.layer_count","custom.layer_labels","custom.pattern_size","custom.tiling_type","custom.designer_colors","custom.pattern_number","custom.collection_sequence","custom.pattern_sequence","custom.pattern_variant"
"coverlets-newtown","Newtown","<p>Newtown pattern from our Coverlets collection. Pattern #01-02-114. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-114-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/newtown.jpg","1","Newtown pattern thumbnail","Newtown - Coverlets Collection | ColorFlex Wallpaper","Newtown pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","newtown","2","Texture,Pattern","24x24","straight","SW7067 CITYSCAPE,SW0055 LIGHT FRENCH GRAY,SC0001 COTTAGE LINEN","01-02-114","02","114",""
"coverlets-newtown","Newtown","<p>Newtown pattern from our Coverlets collection. Pattern #01-02-114. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-02-114-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/newtown.jpg","","","Newtown - Coverlets Collection | ColorFlex Wallpaper","Newtown pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","newtown","2","Texture,Pattern","24x24","straight","SW7067 CITYSCAPE,SW0055 LIGHT FRENCH GRAY,SC0001 COTTAGE LINEN","01-02-114","02","114",""
"coverlets-newtown","Newtown","<p>Newtown pattern from our Coverlets collection. Pattern #01-02-114. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-02-114-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/newtown.jpg","","","Newtown - Coverlets Collection | ColorFlex Wallpaper","Newtown pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","newtown","2","Texture,Pattern","24x24","straight","SW7067 CITYSCAPE,SW0055 LIGHT FRENCH GRAY,SC0001 COTTAGE LINEN","01-02-114","02","114",""
"coverlets-quakertown","Quakertown","<p>Quakertown pattern from our Coverlets collection. Pattern #01-02-117. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-117-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/quakertown.jpg","1","Quakertown pattern thumbnail","Quakertown - Coverlets Collection | ColorFlex Wallpaper","Quakertown pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","quakertown","2","Texture,Design","24x24","straight","SW6135 ECRU,SW0050 CLASSIC LIGHT BUFF,SW7069 IRON ORE","01-02-117","02","117",""
"coverlets-quakertown","Quakertown","<p>Quakertown pattern from our Coverlets collection. Pattern #01-02-117. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-02-117-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/quakertown.jpg","","","Quakertown - Coverlets Collection | ColorFlex Wallpaper","Quakertown pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","quakertown","2","Texture,Design","24x24","straight","SW6135 ECRU,SW0050 CLASSIC LIGHT BUFF,SW7069 IRON ORE","01-02-117","02","117",""
"coverlets-quakertown","Quakertown","<p>Quakertown pattern from our Coverlets collection. Pattern #01-02-117. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-02-117-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/quakertown.jpg","","","Quakertown - Coverlets Collection | ColorFlex Wallpaper","Quakertown pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","quakertown","2","Texture,Design","24x24","straight","SW6135 ECRU,SW0050 CLASSIC LIGHT BUFF,SW7069 IRON ORE","01-02-117","02","117",""
"coverlets-kingston","Kingston","<p>Kingston pattern from our Coverlets collection. Pattern #01-02-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-111-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/kingston.jpg","1","Kingston pattern thumbnail","Kingston - Coverlets Collection | ColorFlex Wallpaper","Kingston pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","kingston","2","Texture,Pattern","24x24","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-111","02","111",""
"coverlets-kingston","Kingston","<p>Kingston pattern from our Coverlets collection. Pattern #01-02-111. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-02-111-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/kingston.jpg","","","Kingston - Coverlets Collection | ColorFlex Wallpaper","Kingston pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","kingston","2","Texture,Pattern","24x24","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-111","02","111",""
"coverlets-kingston","Kingston","<p>Kingston pattern from our Coverlets collection. Pattern #01-02-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-02-111-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/kingston.jpg","","","Kingston - Coverlets Collection | ColorFlex Wallpaper","Kingston pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","kingston","2","Texture,Pattern","24x24","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-111","02","111",""
"coverlets-adelphi","Adelphi","<p>Adelphi pattern from our Coverlets collection. Pattern #01-02-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/coverlets/thumbnails/adelphi.jpg","1","Adelphi pattern thumbnail","Adelphi - Coverlets Collection | ColorFlex Wallpaper","Adelphi pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","coverlets","adelphi","2","Texture,Pattern","24x18","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-101","02","101",""
