"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"new-orleans-acadia","Acadia","<p>Acadia wallpaper customization - graceful wall-mounted planters cascade with lush trailing vines while a trio of gentle doves perch in lively accompaniment - evoking the sun-dappled courtyards, wrought-iron balconies, and flowering patios of the French Quarter in that beloved fusion of Cajun romance and Southern charm - customize vines, doves, and background colors independently to Sherwin Williams paints and resize. Romantic courtyard artistry perfect for French Creole dining rooms, Southern cottage bedrooms, vintage-inspired sunrooms, romantic powder rooms, and spaces celebrating that irresistible New Orleans joie de vivre. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/acadia.jpg?v=1773356432","1","Acadia pattern thumbnail","Acadia - New Orleans Collection | ColorFlex Wallpaper","Acadia wallpaper customization - graceful wall-mounted planters cascade with lush trailing vines while a trio of gentle doves perch in lively accompaniment - evoking the sun-dappled courtyards, wrought-iron balconies, and flowering patios of the French Quarter in that beloved fusion of Cajun romance and Southern cha...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","acadia","2","Foliage,Birds","24x24","straight","SW6239 UPWARD,SW0043 PERISTYLE BRASS,SC0001COTTAGE LINEN","01-17-101","17","101","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-acadia","Acadia","<p>Acadia wallpaper customization - graceful wall-mounted planters cascade with lush trailing vines while a trio of gentle doves perch in lively accompaniment - evoking the sun-dappled courtyards, wrought-iron balconies, and flowering patios of the French Quarter in that beloved fusion of Cajun romance and Southern charm - customize vines, doves, and background colors independently to Sherwin Williams paints and resize. Romantic courtyard artistry perfect for French Creole dining rooms, Southern cottage bedrooms, vintage-inspired sunrooms, romantic powder rooms, and spaces celebrating that irresistible New Orleans joie de vivre. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-17-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/acadia.jpg?v=1773356432","","","Acadia - New Orleans Collection | ColorFlex Wallpaper","Acadia wallpaper customization - graceful wall-mounted planters cascade with lush trailing vines while a trio of gentle doves perch in lively accompaniment - evoking the sun-dappled courtyards, wrought-iron balconies, and flowering patios of the French Quarter in that beloved fusion of Cajun romance and Southern cha...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","acadia","2","Foliage,Birds","24x24","straight","SW6239 UPWARD,SW0043 PERISTYLE BRASS,SC0001COTTAGE LINEN","01-17-101","17","101","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-acadia","Acadia","<p>Acadia wallpaper customization - graceful wall-mounted planters cascade with lush trailing vines while a trio of gentle doves perch in lively accompaniment - evoking the sun-dappled courtyards, wrought-iron balconies, and flowering patios of the French Quarter in that beloved fusion of Cajun romance and Southern charm - customize vines, doves, and background colors independently to Sherwin Williams paints and resize. Romantic courtyard artistry perfect for French Creole dining rooms, Southern cottage bedrooms, vintage-inspired sunrooms, romantic powder rooms, and spaces celebrating that irresistible New Orleans joie de vivre. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-17-101-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/acadia.jpg?v=1773356432","","","Acadia - New Orleans Collection | ColorFlex Wallpaper","Acadia wallpaper customization - graceful wall-mounted planters cascade with lush trailing vines while a trio of gentle doves perch in lively accompaniment - evoking the sun-dappled courtyards, wrought-iron balconies, and flowering patios of the French Quarter in that beloved fusion of Cajun romance and Southern cha...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","acadia","2","Foliage,Birds","24x24","straight","SW6239 UPWARD,SW0043 PERISTYLE BRASS,SC0001COTTAGE LINEN","01-17-101","17","101","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-baton-rouge","Baton Rouge","<p>Baton Rouge wallpaper customization - linked beribboned cameos of rosettes and classical urns in romantic distressed transfer print style - customize cameo frames, ribbons, rosettes, urns, and background colors independently to Sherwin Williams paints and resize. Refined distressed cameo artistry perfect for French Quarter dining rooms, antebellum-inspired living rooms, romantic primary bedrooms, sophisticated powder rooms, and spaces celebrating that intoxicating blend of Old World European classicism and grand Southern heritage. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/baton-rouge.jpg?v=1773356433","1","Baton Rouge pattern thumbnail","Baton Rouge - New Orleans Collection | ColorFlex Wallpaper","Baton Rouge wallpaper customization - linked beribboned cameos of rosettes and classical urns in romantic distressed transfer print style - customize cameo frames, ribbons, rosettes, urns, and background colors independently to Sherwin Williams paints and resize. Refined distressed cameo artistry perfect for French ...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","baton-rouge","3","Large Cameo,Small Cameo,Design","24x32","straight","SW2148 ROYCROFT PEWTER,SW0037 MORRIS ROOM GREY,SW0055 LIGHT FRENCH GRAY,SW0050 CLASSIC LIGHT BUFF","01-17-102","17","102","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-baton-rouge","Baton Rouge","<p>Baton Rouge wallpaper customization - linked beribboned cameos of rosettes and classical urns in romantic distressed transfer print style - customize cameo frames, ribbons, rosettes, urns, and background colors independently to Sherwin Williams paints and resize. Refined distressed cameo artistry perfect for French Quarter dining rooms, antebellum-inspired living rooms, romantic primary bedrooms, sophisticated powder rooms, and spaces celebrating that intoxicating blend of Old World European classicism and grand Southern heritage. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-17-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/baton-rouge.jpg?v=1773356433","","","Baton Rouge - New Orleans Collection | ColorFlex Wallpaper","Baton Rouge wallpaper customization - linked beribboned cameos of rosettes and classical urns in romantic distressed transfer print style - customize cameo frames, ribbons, rosettes, urns, and background colors independently to Sherwin Williams paints and resize. Refined distressed cameo artistry perfect for French ...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","baton-rouge","3","Large Cameo,Small Cameo,Design","24x32","straight","SW2148 ROYCROFT PEWTER,SW0037 MORRIS ROOM GREY,SW0055 LIGHT FRENCH GRAY,SW0050 CLASSIC LIGHT BUFF","01-17-102","17","102","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-baton-rouge","Baton Rouge","<p>Baton Rouge wallpaper customization - linked beribboned cameos of rosettes and classical urns in romantic distressed transfer print style - customize cameo frames, ribbons, rosettes, urns, and background colors independently to Sherwin Williams paints and resize. Refined distressed cameo artistry perfect for French Quarter dining rooms, antebellum-inspired living rooms, romantic primary bedrooms, sophisticated powder rooms, and spaces celebrating that intoxicating blend of Old World European classicism and grand Southern heritage. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-17-102-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/baton-rouge.jpg?v=1773356433","","","Baton Rouge - New Orleans Collection | ColorFlex Wallpaper","Baton Rouge wallpaper customization - linked beribboned cameos of rosettes and classical urns in romantic distressed transfer print style - customize cameo frames, ribbons, rosettes, urns, and background colors independently to Sherwin Williams paints and resize. Refined distressed cameo artistry perfect for French ...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","baton-rouge","3","Large Cameo,Small Cameo,Design","24x32","straight","SW2148 ROYCROFT PEWTER,SW0037 MORRIS ROOM GREY,SW0055 LIGHT FRENCH GRAY,SW0050 CLASSIC LIGHT BUFF","01-17-102","17","102","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-beauregard","Beauregard","<p>Beauregard wallpaper customization - three-color filigree candle sconce over wide stripes in dramatic New Orleans style. Delicate filigree-style candle wall sconces float gracefully over a bold wide-stripe background in luminous line art that evokes the flickering candlelit galleries, gaslit corridors, and wrought-iron adorned interiors of the grand New Orleans Garden District - customize stripe color one, stripe color two, and sconce independently to Sherwin Williams paints and resize. Dramatic candlelit artistry perfect for New Orleans-inspired dining rooms, moody sophisticated bedrooms, theatrical powder rooms, French Quarter entryways, and spaces celebrating that irresistible blend of Southern Gothic atmosphere and Creole decorative elegance. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/beauregard.jpg?v=1773356435","1","Beauregard pattern thumbnail","Beauregard - New Orleans Collection | ColorFlex Wallpaper","Beauregard wallpaper customization - three-color filigree candle sconce over wide stripes in dramatic New Orleans style. Delicate filigree-style candle wall sconces float gracefully over a bold wide-stripe background in luminous line art that evokes the flickering candlelit galleries, gaslit corridors, and wrought-i...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","beauregard","2","Stripes,Pattern","24x24","straight","DE6138 ARTIFACT,SW9179 ANCHORS AWEIGH,SW7698 STRAW HARVEST","01-17-103","17","103","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-beauregard","Beauregard","<p>Beauregard wallpaper customization - three-color filigree candle sconce over wide stripes in dramatic New Orleans style. Delicate filigree-style candle wall sconces float gracefully over a bold wide-stripe background in luminous line art that evokes the flickering candlelit galleries, gaslit corridors, and wrought-iron adorned interiors of the grand New Orleans Garden District - customize stripe color one, stripe color two, and sconce independently to Sherwin Williams paints and resize. Dramatic candlelit artistry perfect for New Orleans-inspired dining rooms, moody sophisticated bedrooms, theatrical powder rooms, French Quarter entryways, and spaces celebrating that irresistible blend of Southern Gothic atmosphere and Creole decorative elegance. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-17-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/beauregard.jpg?v=1773356435","","","Beauregard - New Orleans Collection | ColorFlex Wallpaper","Beauregard wallpaper customization - three-color filigree candle sconce over wide stripes in dramatic New Orleans style. Delicate filigree-style candle wall sconces float gracefully over a bold wide-stripe background in luminous line art that evokes the flickering candlelit galleries, gaslit corridors, and wrought-i...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","beauregard","2","Stripes,Pattern","24x24","straight","DE6138 ARTIFACT,SW9179 ANCHORS AWEIGH,SW7698 STRAW HARVEST","01-17-103","17","103","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-beauregard","Beauregard","<p>Beauregard wallpaper customization - three-color filigree candle sconce over wide stripes in dramatic New Orleans style. Delicate filigree-style candle wall sconces float gracefully over a bold wide-stripe background in luminous line art that evokes the flickering candlelit galleries, gaslit corridors, and wrought-iron adorned interiors of the grand New Orleans Garden District - customize stripe color one, stripe color two, and sconce independently to Sherwin Williams paints and resize. Dramatic candlelit artistry perfect for New Orleans-inspired dining rooms, moody sophisticated bedrooms, theatrical powder rooms, French Quarter entryways, and spaces celebrating that irresistible blend of Southern Gothic atmosphere and Creole decorative elegance. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-17-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/beauregard.jpg?v=1773356435","","","Beauregard - New Orleans Collection | ColorFlex Wallpaper","Beauregard wallpaper customization - three-color filigree candle sconce over wide stripes in dramatic New Orleans style. Delicate filigree-style candle wall sconces float gracefully over a bold wide-stripe background in luminous line art that evokes the flickering candlelit galleries, gaslit corridors, and wrought-i...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","beauregard","2","Stripes,Pattern","24x24","straight","DE6138 ARTIFACT,SW9179 ANCHORS AWEIGH,SW7698 STRAW HARVEST","01-17-103","17","103","","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
"new-orleans-beauregard-full-color","Beauregard Full Color","<p>Beauregard Full Color wallpaper customization - five-color filigree candelabra over wide stripes in luminous New Orleans splendor. The beloved Beauregard design elevated to full chromatic glory - delicate filigree candelabra now rendered in three rich independent colors plus a detail sketch outline, all floating over the classic wide-stripe background - customize stripe color one, stripe color two, candelabra color one, candelabra color two, candelabra color three, and sketch outline independently to Sherwin Williams paints and resize. Maximalist candlelit artistry perfect for jewel-toned dining rooms, dramatic New Orleans-inspired bedrooms, bold powder rooms, statement entryways, and spaces celebrating that intoxicating full-color fusion of Southern Gothic theater and Creole decorative opulence. Designer wallpaper, peel &amp; stick, and decorator fabric in YOUR exact Sherwin Williams colors at saffroncottage.shop</p><p><em>Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</em></p>","New Orleans","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-103C-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/beauregard-full-color.jpg?v=1773356437","1","Beauregard Full Color pattern thumbnail","Beauregard Full Color - New Orleans Collection | ColorFlex Wallpaper","Beauregard Full Color wallpaper customization - five-color filigree candelabra over wide stripes in luminous New Orleans splendor. The beloved Beauregard design elevated to full chromatic glory - delicate filigree candelabra now rendered in three rich independent colors plus a detail sketch outline, all floating ove...","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","new-orleans","beauregard-full-color","6","Stripes,Hearts,Leaves,Pettals,Vines,Outline","24x24","straight","SW7698 STRAW HARVEST,SW0050 CLASSIC LIGHT BUFF,SW7726 LELMON VERBENA,SW0043 PERISTYLE BRASS,SW6158 SAWDUST,SW0043 PERISTYLE BRASS,SW7069 IRON ORE","01-17-103C","17","103","C","Our New Orleans collection combines the romantic history of French Cajun culture and the American South.  Fantastic designs that can be recolored and resized to your desire."
